,Kernel,Length Scale,Alpha,Noise Level,Bounds,Kernel Parameters,LML
1924,RationalQuadratic,3.9810717055349695e-05,0.0017012542798525892,0.01,"(1e-06, 1000)","RationalQuadratic(alpha=0.0017, length_scale=3.98e-05) + WhiteKernel(noise_level=0.01)",53.774663322315575
6061,RationalQuadratic,2.5118864315095824,0.001,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=0.001, length_scale=2.51) + WhiteKernel(noise_level=1e-09)",53.774663322315575
1476,RationalQuadratic,3.9810717055349695e-05,2.894266124716752e-06,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=2.89e-06, length_scale=3.98e-05) + WhiteKernel(noise_level=1e-09)",53.774663322315575
1889,RationalQuadratic,3.9810717055349695e-05,0.001,0.01,"(1e-06, 1000)","RationalQuadratic(alpha=0.001, length_scale=3.98e-05) + WhiteKernel(noise_level=0.01)",53.774663322315575
2267,RationalQuadratic,3.9810717055349695e-05,0.34551072945922184,0.00017782794100389227,"(1e-06, 1000)","RationalQuadratic(alpha=0.346, length_scale=3.98e-05) + WhiteKernel(noise_level=0.000178)",53.774663322315575
1917,RationalQuadratic,3.9810717055349695e-05,0.0017012542798525892,0.00017782794100389227,"(1e-06, 1000)","RationalQuadratic(alpha=0.0017, length_scale=3.98e-05) + WhiteKernel(noise_level=0.000178)",53.774663322315575
4444,RationalQuadratic,0.06309573444801943,2.424462017082331e-05,0.01,"(1e-06, 1000)","RationalQuadratic(alpha=2.42e-05, length_scale=0.0631) + WhiteKernel(noise_level=0.01)",53.774663322315575
4493,RationalQuadratic,0.06309573444801943,7.017038286703837e-05,5.6234132519034905e-08,"(1e-06, 1000)","RationalQuadratic(alpha=7.02e-05, length_scale=0.0631) + WhiteKernel(noise_level=5.62e-08)",53.774663322315575
2260,RationalQuadratic,3.9810717055349695e-05,0.34551072945922184,3.162277660168379e-06,"(1e-06, 1000)","RationalQuadratic(alpha=0.346, length_scale=3.98e-05) + WhiteKernel(noise_level=3.16e-06)",53.774663322315575
1637,RationalQuadratic,3.9810717055349695e-05,2.424462017082331e-05,0.00017782794100389227,"(1e-06, 1000)","RationalQuadratic(alpha=2.42e-05, length_scale=3.98e-05) + WhiteKernel(noise_level=0.000178)",53.774663322315575
1609,RationalQuadratic,3.9810717055349695e-05,1.4251026703029993e-05,0.01,"(1e-06, 1000)","RationalQuadratic(alpha=1.43e-05, length_scale=3.98e-05) + WhiteKernel(noise_level=0.01)",53.774663322315575
1616,RationalQuadratic,3.9810717055349695e-05,2.424462017082331e-05,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=2.42e-05, length_scale=3.98e-05) + WhiteKernel(noise_level=1e-09)",53.774663322315575
3485,RationalQuadratic,0.001584893192461114,0.02424462017082331,3.162277660168379e-06,"(1e-06, 1000)","RationalQuadratic(alpha=0.0242, length_scale=0.00158) + WhiteKernel(noise_level=3.16e-06)",53.774663322315575
3457,RationalQuadratic,0.001584893192461114,0.014251026703029992,0.00017782794100389227,"(1e-06, 1000)","RationalQuadratic(alpha=0.0143, length_scale=0.00158) + WhiteKernel(noise_level=0.000178)",53.774663322315575
3506,RationalQuadratic,0.001584893192461114,0.041246263829013564,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=0.0412, length_scale=0.00158) + WhiteKernel(noise_level=1e-09)",53.774663322315575
3156,RationalQuadratic,0.001584893192461114,0.00020309176209047368,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=0.000203, length_scale=0.00158) + WhiteKernel(noise_level=1e-09)",53.774663322315575
4633,RationalQuadratic,0.06309573444801943,0.0005878016072274912,5.6234132519034905e-08,"(1e-06, 1000)","RationalQuadratic(alpha=0.000588, length_scale=0.0631) + WhiteKernel(noise_level=5.62e-08)",53.774663322315575
1756,RationalQuadratic,3.9810717055349695e-05,0.00020309176209047368,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=0.000203, length_scale=3.98e-05) + WhiteKernel(noise_level=1e-09)",53.774663322315575
3527,RationalQuadratic,0.001584893192461114,0.041246263829013564,0.00017782794100389227,"(1e-06, 1000)","RationalQuadratic(alpha=0.0412, length_scale=0.00158) + WhiteKernel(noise_level=0.000178)",53.774663322315575
1742,RationalQuadratic,3.9810717055349695e-05,0.00011937766417144369,0.00017782794100389227,"(1e-06, 1000)","RationalQuadratic(alpha=0.000119, length_scale=3.98e-05) + WhiteKernel(noise_level=0.000178)",53.774663322315575
3149,RationalQuadratic,0.001584893192461114,0.00011937766417144369,0.01,"(1e-06, 1000)","RationalQuadratic(alpha=0.000119, length_scale=0.00158) + WhiteKernel(noise_level=0.01)",53.774663322315575
6621,RationalQuadratic,2.5118864315095824,4.923882631706742,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=4.92, length_scale=2.51) + WhiteKernel(noise_level=1e-09)",53.774663322315575
1721,RationalQuadratic,3.9810717055349695e-05,0.00011937766417144369,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=0.000119, length_scale=3.98e-05) + WhiteKernel(noise_level=1e-09)",53.774663322315575
1714,RationalQuadratic,3.9810717055349695e-05,7.017038286703837e-05,0.01,"(1e-06, 1000)","RationalQuadratic(alpha=7.02e-05, length_scale=3.98e-05) + WhiteKernel(noise_level=0.01)",53.774663322315575
461,RationalQuadratic,1e-06,0.001,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=0.001, length_scale=1e-06) + WhiteKernel(noise_level=1e-09)",53.774663322315575
636,RationalQuadratic,1e-06,0.014251026703029992,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=0.0143, length_scale=1e-06) + WhiteKernel(noise_level=1e-09)",53.774663322315575
440,RationalQuadratic,1e-06,0.0005878016072274912,3.162277660168379e-06,"(1e-06, 1000)","RationalQuadratic(alpha=0.000588, length_scale=1e-06) + WhiteKernel(noise_level=3.16e-06)",53.774663322315575
3562,RationalQuadratic,0.001584893192461114,0.07017038286703836,0.00017782794100389227,"(1e-06, 1000)","RationalQuadratic(alpha=0.0702, length_scale=0.00158) + WhiteKernel(noise_level=0.000178)",53.774663322315575
3205,RationalQuadratic,0.001584893192461114,0.0003455107294592222,3.162277660168379e-06,"(1e-06, 1000)","RationalQuadratic(alpha=0.000346, length_scale=0.00158) + WhiteKernel(noise_level=3.16e-06)",53.774663322315575
4563,RationalQuadratic,0.06309573444801943,0.00020309176209047368,5.6234132519034905e-08,"(1e-06, 1000)","RationalQuadratic(alpha=0.000203, length_scale=0.0631) + WhiteKernel(noise_level=5.62e-08)",53.774663322315575
1651,RationalQuadratic,3.9810717055349695e-05,4.124626382901348e-05,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=4.12e-05, length_scale=3.98e-05) + WhiteKernel(noise_level=1e-09)",53.774663322315575
3107,RationalQuadratic,0.001584893192461114,7.017038286703837e-05,0.00017782794100389227,"(1e-06, 1000)","RationalQuadratic(alpha=7.02e-05, length_scale=0.00158) + WhiteKernel(noise_level=0.000178)",53.774663322315575
76,RationalQuadratic,1e-06,2.894266124716752e-06,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=2.89e-06, length_scale=1e-06) + WhiteKernel(noise_level=1e-09)",53.774663322315575
3100,RationalQuadratic,0.001584893192461114,7.017038286703837e-05,3.162277660168379e-06,"(1e-06, 1000)","RationalQuadratic(alpha=7.02e-05, length_scale=0.00158) + WhiteKernel(noise_level=3.16e-06)",53.774663322315575
5907,RationalQuadratic,2.5118864315095824,7.017038286703837e-05,0.00017782794100389227,"(1e-06, 1000)","RationalQuadratic(alpha=7.02e-05, length_scale=2.51) + WhiteKernel(noise_level=0.000178)",53.774663322315575
4430,RationalQuadratic,0.06309573444801943,2.424462017082331e-05,3.162277660168379e-06,"(1e-06, 1000)","RationalQuadratic(alpha=2.42e-05, length_scale=0.0631) + WhiteKernel(noise_level=3.16e-06)",53.774663322315575
1420,RationalQuadratic,3.9810717055349695e-05,1e-06,3.162277660168379e-06,"(1e-06, 1000)","RationalQuadratic(alpha=1e-06, length_scale=3.98e-05) + WhiteKernel(noise_level=3.16e-06)",53.774663322315575
1931,RationalQuadratic,3.9810717055349695e-05,0.0028942661247167516,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=0.00289, length_scale=3.98e-05) + WhiteKernel(noise_level=1e-09)",53.774663322315575
4241,RationalQuadratic,0.06309573444801943,1.7012542798525892e-06,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=1.7e-06, length_scale=0.0631) + WhiteKernel(noise_level=1e-09)",53.774663322315575
5823,RationalQuadratic,2.5118864315095824,2.424462017082331e-05,5.6234132519034905e-08,"(1e-06, 1000)","RationalQuadratic(alpha=2.42e-05, length_scale=2.51) + WhiteKernel(noise_level=5.62e-08)",53.774663322315575
5676,RationalQuadratic,2.5118864315095824,2.894266124716752e-06,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=2.89e-06, length_scale=2.51) + WhiteKernel(noise_level=1e-09)",53.774663322315575
7146,RationalQuadratic,100.0,8.376776400682924e-06,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=8.38e-06, length_scale=100) + WhiteKernel(noise_level=1e-09)",53.774663322315575
4850,RationalQuadratic,0.06309573444801943,0.014251026703029992,3.162277660168379e-06,"(1e-06, 1000)","RationalQuadratic(alpha=0.0143, length_scale=0.0631) + WhiteKernel(noise_level=3.16e-06)",53.774663322315575
4206,RationalQuadratic,0.06309573444801943,1e-06,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=1e-06, length_scale=0.0631) + WhiteKernel(noise_level=1e-09)",53.774663322315575
7846,RationalQuadratic,100.0,0.34551072945922184,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=0.346, length_scale=100) + WhiteKernel(noise_level=1e-09)",53.774663322315575
7706,RationalQuadratic,100.0,0.041246263829013564,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=0.0412, length_scale=100) + WhiteKernel(noise_level=1e-09)",53.774663322315575
27,RationalQuadratic,1e-06,1e-06,0.00017782794100389227,"(1e-06, 1000)","RationalQuadratic(alpha=1e-06, length_scale=1e-06) + WhiteKernel(noise_level=0.000178)",53.774663322315575
5634,RationalQuadratic,2.5118864315095824,1e-06,0.01,"(1e-06, 1000)","RationalQuadratic(alpha=1e-06, length_scale=2.51) + WhiteKernel(noise_level=0.01)",53.774663322315575
8021,RationalQuadratic,100.0,4.923882631706742,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=4.92, length_scale=100) + WhiteKernel(noise_level=1e-09)",53.774663322315575
